,SpeciesGroup,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adult Eel,Adult Eel,,Adult Eel,Glass Eel/Elver,Glass Eel/Elver,Glass Eel/Elver,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster Total,Lobster Total,Lobster Total,Other,Other,Other,Other,Other,Other,Other Total,Other Total,Other Total,Shell,Shell,Shell,Shell,Shell,Shell,Shell Total,Shell Total,Shell Total,Licences,Days,Tonnes
,Eels (freshwater),Eels (freshwater),,Eels (freshwater),Glass eel/elver,Glass eel/elver,Glass eel/elver,Lobster - cray tails,Lobster - cray tails,Lobster - cray tails,Lobster - tropical rock,Lobster - tropical rock,Lobster - tropical rock,Lobster - unspecified,Lobster - unspecified,Lobster - unspecified,,,,Fish - mixed reef a,Fish - mixed reef a,Fish - mixed reef a,Fish - unspecified,Fish - unspecified,Fish - unspecified,,,,Shell grit,Shell grit,Shell grit,Star sand,Star sand,Star sand,,,,,,
CalendarYear,Licences,Days,,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,,,
1990,,,,,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A
1991,,,,,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A
1992,,,,,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A
1993,N/A,N/A,,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A
1994,,,,,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,,,,,,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A
1995,,,,,,,,,,,8,340,38.06,,,,8,340,38.06,,,,,,,,,,,,N/A,,,N/A,,,N/A,8,340,177.36
1996,59,188,,53.97,N/A,N/A,N/A,,,,12,523,56.57,,,,12,523,56.57,,,,,,,,,,,,N/A,,,N/A,,,N/A,73,721,247.21
1997,48,146,,34.64,17,196,0.13,N/A,N/A,N/A,15,900,49.94,,,,15,900,50.08,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,N/A,,,N/A,,,N/A,80,1242,216.81
1998,6,12,,2.59,16,202,0.08,,,,13,760,77.65,,,,13,760,77.65,,,,,,,,,,,,N/A,,,N/A,,,N/A,35,974,149.06
1999,21,75,,17.31,6,145,0.03,,,,22,1188,129.32,,,,22,1188,129.32,,,,,,,,,,,,N/A,,,N/A,,,N/A,49,1408,249.06
2000,21,81,,11.63,5,49,0.02,,,,21,1746,152.48,,,,21,1746,152.48,,,,,,,,,,,,N/A,,,N/A,,,N/A,47,1876,293.47
2001,29,378,,51.89,N/A,N/A,N/A,,,,23,2759,206.48,,,,23,2759,206.48,,,,,,,,,,,,N/A,,,N/A,,,N/A,55,3159,351.95
2002,24,381,,53.78,N/A,N/A,N/A,,,,18,1423,116.67,,,,18,1423,116.67,,,,,,,,,,,,N/A,,,N/A,,,N/A,46,1813,314.34
2003,22,361,,43.31,5,172,0.21,,,,15,532,104.01,,,,15,532,104.01,,,,,,,,,,,,N/A,,,N/A,,,N/A,42,1065,307.87
2004,19,267,,40.98,N/A,N/A,N/A,,,,17,726,186.73,,,,17,726,186.73,,,,,,,,,,,,N/A,,,,,,N/A,40,1165,365.86
2005,18,263,,31.14,N/A,N/A,N/A,,,,17,689,142.42,,,,17,689,142.42,,,,,,,,,,,,N/A,,,,,,N/A,39,1180,301.27
2006,17,220,,17.96,6,432,0.33,,,,14,1115,203.4,,,,14,1115,203.4,,,,,,,,,,,,N/A,,,,,,N/A,37,1767,303.72
2007,15,868,,24.6,7,446,0.58,,,,12,1166,239.48,,,,12,1166,239.48,,,,,,,,,,,,N/A,,,,,,N/A,34,2480,306.67
2008,18,890,,24.84,5,288,0.45,,,,11,1162,243.89,,,,11,1162,243.89,,,,,,,,,,,,N/A,,,,,,N/A,34,2340,314.67
2009,15,689,,21.81,5,189,0.14,,,,11,1007,198.47,,,,11,1007,198.47,,,,,,,,,,,,N/A,,,N/A,,,N/A,31,1885,305.42
2010,16,809,,24.23,N/A,N/A,N/A,,,,10,584,118.5,,,,10,584,118.5,,,,,,,,,,,,N/A,,,,,,N/A,29,1423,178.24
