,SpeciesGroup,,Species,,,,,,,,,,
,Lobster,Lobster,,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster,Lobster Total,Lobster Total,Lobster Total
,Lobster - cray tails,Lobster - cray tails,,Lobster - cray tails,Lobster - tropical rock,Lobster - tropical rock,Lobster - tropical rock,Lobster - unspecified,Lobster - unspecified,Lobster - unspecified,,,
CalendarYear,Licences,Days,,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes,Licences,Days,Tonnes
1990,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A
1991,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A
1992,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A
1993,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A
1994,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A
1995,,,,,8,340,38.06,,,,8,340,38.06
1996,,,,,12,523,56.57,,,,12,523,56.57
1997,N/A,N/A,,N/A,15,900,49.94,,,,15,900,50.08
1998,,,,,13,760,77.65,,,,13,760,77.65
1999,,,,,22,1188,129.32,,,,22,1188,129.32
2000,,,,,21,1746,152.48,,,,21,1746,152.48
2001,,,,,23,2759,206.48,,,,23,2759,206.48
2002,,,,,18,1423,116.67,,,,18,1423,116.67
2003,,,,,15,532,104.01,,,,15,532,104.01
2004,,,,,17,726,186.73,,,,17,726,186.73
2005,,,,,17,689,142.42,,,,17,689,142.42
2006,,,,,14,1115,203.4,,,,14,1115,203.4
2007,,,,,12,1166,239.48,,,,12,1166,239.48
2008,,,,,11,1162,243.89,,,,11,1162,243.89
2009,,,,,11,1007,198.47,,,,11,1007,198.47
2010,,,,,10,584,118.5,,,,10,584,118.5
2011,,,,,7,544,141.16,,,,7,544,141.16
2012,,,,,8,583,154.43,,,,8,583,154.43
2013,,,,,7,720,181.04,,,,7,720,181.04
2014,,,,,8,821,176.78,,,,8,821,176.78
2015,,,,,8,854,123.92,,,,8,854,123.92
2016,,,,,7,895,198.45,,,,7,895,198.45
2017,,,,,10,702,186.64,,,,10,702,186.64
2018,,,,,11,1026,162.85,,,,11,1026,162.85
2019,,,,,8,685,104.68,,,,8,685,104.68
2020,,,,,8,572,115.22,,,,8,572,115.22
2021,,,,,7,824,138.46,6,71,12.45,7,895,150.91
2022,,,,,8,819,135.78,,,,8,819,135.78
2023,,,,,8,621,90.72,,,,8,621,90.72
2024,,,,,5,342,77.27,,,,5,342,77.27
2025,,,,,5,372,161.38,,,,5,372,161.38
Grand Total,N/A,N/A,,N/A,36,27206,"4,422.27",6,71,12.45,36,27277,"4,434.86"
